estate_address,city,rent,completion,room,room_size,structure
群馬県伊勢崎市上諏訪町,伊勢崎市,45000,1991-1-1,2DK,51.34,木造
群馬県前橋市駒形町,前橋市,50000,1991-1-1,2DK,44,木造
群馬県前橋市駒形町,前橋市,37000,1991-1-1,2K,30.63,木造
群馬県前橋市野中町,前橋市,44000,1991-1-1,2K,30,木造
群馬県桐生市広沢町6丁目,桐生市,45000,1991-1-1,3DK,47.8,木造
群馬県前橋市駒形町,前橋市,32000,1991-1-1,1K,24.84,木造
群馬県高崎市貝沢町,高崎市,55000,1991-1-1,2DK,49.69,軽量鉄骨造
栃木県足利市鹿島町,足利市,52000,1991-1-1,3K,46.98,木造
群馬県前橋市池端町,前橋市,65000,1991-1-1,4LDK,122.55,木造
群馬県前橋市池端町,前橋市,38000,1991-1-1,2K,37.28,木造
群馬県高崎市貝沢町,高崎市,55000,1991-1-1,2DK,49.69,軽量鉄骨造
群馬県伊勢崎市連取町,伊勢崎市,45000,1991-1-1,2DK,43,軽量鉄骨造
群馬県前橋市箱田町,前橋市,45000,1991-1-1,1LDK,42.09,鉄骨造
群馬県伊勢崎市連取町,伊勢崎市,38000,1991-1-1,2DK,39,木造
群馬県前橋市平和町2丁目,前橋市,25000,1991-1-1,1K,19.3,木造
群馬県前橋市駒形町,前橋市,50000,1991-1-1,2DK,44,木造
群馬県前橋市下小出町2丁目,前橋市,55000,1991-1-1,3K,59,RC(鉄筋コンクリート造)
群馬県伊勢崎市連取元町,伊勢崎市,41000,1991-1-1,2DK,39,木造
群馬県伊勢崎市連取町,伊勢崎市,45000,1991-1-1,2DK,43,軽量鉄骨造
群馬県伊勢崎市連取町,伊勢崎市,45000,1991-1-1,2DK,43,軽量鉄骨造
群馬県伊勢崎市連取元町,伊勢崎市,41000,1991-1-1,2DK,39,木造
群馬県伊勢崎市連取元町,伊勢崎市,41000,1991-1-1,2DK,39,木造
群馬県伊勢崎市平和町,伊勢崎市,40000,1991-1-1,2DK,40,鉄骨造
群馬県伊勢崎市田中島町,伊勢崎市,38000,1991-1-1,2DK,35.3,軽量鉄骨造
群馬県伊勢崎市上諏訪町,伊勢崎市,48000,1991-1-1,2DK,51.34,木造
群馬県佐波郡玉村町大字上之手,佐波郡,39000,1991-1-1,2DK,40.91,軽量鉄骨造
群馬県前橋市総社町総社,前橋市,60000,1991-1-1,3LDK,61.9,RC(鉄筋コンクリート造)
群馬県前橋市川曲町,前橋市,28000,1991-1-1,1K,18.2,木造
群馬県伊勢崎市田中島町,伊勢崎市,38000,1991-1-1,2DK,35.3,軽量鉄骨造
群馬県高崎市柴崎町,高崎市,35000,1991-1-1,1R,19.8,RC(鉄筋コンクリート造)
群馬県前橋市下細井町,前橋市,26000,1991-2-1,1K,25.5,鉄骨造
群馬県高崎市新町,高崎市,48000,1991-2-1,3LDK,57.42,RC(鉄筋コンクリート造)
群馬県前橋市天川原町,前橋市,48000,1991-2-1,2DK,48,木造
栃木県足利市大前町,足利市,55500,1991-2-1,2LDK,50.78,軽量鉄骨造
群馬県前橋市北代田町,前橋市,24000,1991-2-1,1R,21.29,木造
群馬県前橋市天川大島町2丁目,前橋市,27000,1991-2-1,1K,18.58,木造
栃木県足利市大前町,足利市,55500,1991-2-1,2LDK,50.78,軽量鉄骨造
群馬県前橋市新前橋町,前橋市,45000,1991-2-1,2DK,47.66,鉄骨造
群馬県太田市新田木崎町,太田市,30000,1991-3-1,2K,33.71,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-3-1,1DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-3-1,1DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,20000,1991-3-1,1K,19,鉄骨造
群馬県藤岡市根岸,藤岡市,28000,1991-3-1,1K,20.13,木造
群馬県前橋市敷島町,前橋市,55000,1991-3-1,2DK,40,鉄骨造
群馬県佐波郡玉村町大字下新田,佐波郡,55000,1991-3-1,2LDK,57.75,鉄骨造
群馬県高崎市新町,高崎市,28000,1991-3-1,1K,26.73,鉄骨造
群馬県佐波郡玉村町大字下新田,佐波郡,55000,1991-3-1,2LDK,57.75,鉄骨造
群馬県佐波郡玉村町大字上新田,佐波郡,42000,1991-3-1,2DK,39,木造
群馬県佐波郡玉村町大字上之手,佐波郡,50000,1991-3-1,3DK,46.75,軽量鉄骨造
群馬県桐生市境野町2丁目,桐生市,39000,1991-3-1,2DK,46.1,鉄骨造
群馬県藤岡市上栗須,藤岡市,42000,1991-3-1,2DK,40,鉄骨造
群馬県藤岡市上栗須,藤岡市,26000,1991-3-1,1K,20,鉄骨造
群馬県伊勢崎市宮子町,伊勢崎市,33000,1991-3-1,1K,23,木造
群馬県藤岡市上栗須,藤岡市,28000,1991-3-1,1K,20,鉄骨造
群馬県高崎市大橋町,高崎市,29000,1991-3-1,1R,17,RC(鉄筋コンクリート造)
群馬県高崎市新町,高崎市,48000,1991-3-1,3DK,50.48,鉄骨造
群馬県佐波郡玉村町大字上之手,佐波郡,48000,1991-3-1,3DK,46.75,軽量鉄骨造
群馬県佐波郡玉村町大字上之手,佐波郡,48000,1991-3-1,3DK,46.75,軽量鉄骨造
群馬県佐波郡玉村町大字上之手,佐波郡,50000,1991-3-1,3DK,46.75,軽量鉄骨造
群馬県佐波郡玉村町大字下新田,佐波郡,49000,1991-3-1,3DK,57.75,鉄骨造
群馬県高崎市新町,高崎市,25000,1991-3-1,1K,25,鉄骨造
群馬県高崎市中居町1丁目,高崎市,26000,1991-3-1,1K,16.45,木造
群馬県高崎市新町,高崎市,45000,1991-3-1,2LDK,50.48,鉄骨造
群馬県前橋市大手町2丁目,前橋市,65000,1991-3-1,3DK,56.7,SRC(鉄骨鉄筋コンクリート)
群馬県藤岡市根岸,藤岡市,25000,1991-3-1,1K,20.13,木造
群馬県前橋市川曲町,前橋市,65000,1991-3-1,4DK,63.72,RC(鉄筋コンクリート造)
群馬県太田市亀岡町,太田市,30000,1991-3-1,1DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-3-1,1DK,38.4,鉄骨造
群馬県高崎市中居町1丁目,高崎市,26000,1991-3-1,1K,16.45,木造
群馬県前橋市朝日町4丁目,前橋市,42000,1991-3-1,2DK,38.9,鉄骨造
群馬県前橋市下小出町2丁目,前橋市,27000,1991-3-1,1K,20.48,鉄骨造
群馬県佐波郡玉村町大字上新田,佐波郡,42000,1991-3-1,2DK,39,木造
群馬県高崎市大橋町,高崎市,29000,1991-3-1,1R,17,RC(鉄筋コンクリート造)
群馬県高崎市上豊岡町,高崎市,25000,1991-3-1,1K,20,木造
栃木県足利市東砂原後町,足利市,50500,1991-3-1,2DK,43.75,軽量鉄骨造
栃木県足利市山下町,足利市,33000,1991-3-1,1K,23.77,軽量鉄骨造
群馬県藤岡市根岸,藤岡市,25000,1991-3-1,1K,20.13,木造
群馬県高崎市西横手町,高崎市,35000,1991-3-1,1K,20.13,木造
群馬県前橋市六供町4丁目,前橋市,52000,1991-3-1,3DK,50.5,鉄骨造
群馬県高崎市中居町1丁目,高崎市,26000,1991-3-1,1K,16.45,木造
群馬県前橋市大手町2丁目,前橋市,69000,1991-3-1,2LDK,60.2,SRC(鉄骨鉄筋コンクリート)
群馬県佐波郡玉村町大字上之手,佐波郡,48000,1991-3-1,3DK,46.75,軽量鉄骨造
群馬県高崎市上中居町,高崎市,48000,1991-3-1,2DK,49.5,重量鉄骨造
群馬県高崎市上中居町,高崎市,50000,1991-3-1,2DK,40.07,軽量鉄骨造
群馬県高崎市上中居町,高崎市,50000,1991-3-1,2DK,40.07,軽量鉄骨造
群馬県高崎市上佐野町,高崎市,78000,1991-3-1,3LDK,57.88,RC(鉄筋コンクリート造)
群馬県佐波郡玉村町大字上之手,佐波郡,48000,1991-3-1,3DK,46.75,軽量鉄骨造
群馬県佐波郡玉村町大字上之手,佐波郡,48000,1991-3-1,3DK,46.75,軽量鉄骨造
群馬県高崎市乗附町,高崎市,70000,1991-3-1,3LDK,74,RC(鉄筋コンクリート造)
群馬県前橋市敷島町,前橋市,40000,1991-3-1,2DK,40,鉄骨造
群馬県伊勢崎市下植木町,伊勢崎市,30000,1991-3-1,1K,20,木造
群馬県前橋市下小出町2丁目,前橋市,27000,1991-3-1,1K,20.48,鉄骨造
群馬県太田市新田木崎町,太田市,30000,1991-3-1,2K,33.71,鉄骨造
群馬県太田市新田木崎町,太田市,30000,1991-3-1,2K,33.71,鉄骨造
群馬県太田市新田木崎町,太田市,30000,1991-3-1,2K,33.71,鉄骨造
群馬県太田市新田木崎町,太田市,30000,1991-3-1,2K,33.71,鉄骨造
群馬県太田市新田木崎町,太田市,30000,1991-3-1,2K,33.71,鉄骨造
群馬県太田市新田木崎町,太田市,30000,1991-3-1,2K,33.71,鉄骨造
群馬県太田市新田木崎町,太田市,30000,1991-3-1,2K,33.71,鉄骨造
群馬県太田市亀岡町,太田市,20000,1991-3-1,1K,19,鉄骨造
栃木県足利市常見町3丁目,足利市,49500,1991-3-1,2DK,43.75,軽量鉄骨造
群馬県佐波郡玉村町大字下新田,佐波郡,53000,1991-3-1,2LDK,57.75,鉄骨造
群馬県佐波郡玉村町大字下新田,佐波郡,52000,1991-3-1,3DK,57.75,鉄骨造
群馬県佐波郡玉村町大字下新田,佐波郡,50000,1991-3-1,3DK,57.75,鉄骨造
群馬県前橋市朝日町4丁目,前橋市,40000,1991-3-1,2DK,38.9,鉄骨造
群馬県高崎市菊地町,高崎市,29000,1991-3-1,1K,23,木造
群馬県伊勢崎市下植木町,伊勢崎市,32000,1991-3-1,1K,20,木造
群馬県前橋市敷島町,前橋市,50000,1991-3-1,2DK,40,鉄骨造
群馬県みどり市笠懸町阿左美,みどり市,42000,1991-3-1,2K,39.67,軽量鉄骨造
群馬県前橋市大手町2丁目,前橋市,60000,1991-3-1,2LDK,48.6,SRC(鉄骨鉄筋コンクリート)
群馬県前橋市大手町2丁目,前橋市,60000,1991-3-1,2LDK,48.6,SRC(鉄骨鉄筋コンクリート)
群馬県前橋市大手町2丁目,前橋市,55000,1991-3-1,1LDK,40.5,SRC(鉄骨鉄筋コンクリート)
群馬県太田市新田木崎町,太田市,30000,1991-3-1,2K,33.71,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-3-1,1DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-3-1,1DK,38.4,鉄骨造
群馬県伊勢崎市山王町,伊勢崎市,45000,1991-3-1,2DK,39.6,鉄骨造
群馬県佐波郡玉村町大字上之手,佐波郡,48000,1991-3-1,3DK,46.75,軽量鉄骨造
群馬県藤岡市根岸,藤岡市,28000,1991-3-1,1K,20.13,木造
群馬県高崎市西横手町,高崎市,35000,1991-3-1,1K,20.13,木造
群馬県太田市新田木崎町,太田市,30000,1991-3-1,2K,33.71,鉄骨造
群馬県高崎市中居町1丁目,高崎市,26000,1991-3-1,1K,16.45,木造
群馬県前橋市下小出町2丁目,前橋市,29000,1991-3-1,1K,20.48,鉄骨造
群馬県藤岡市上栗須,藤岡市,29000,1991-3-1,1K,20,鉄骨造
群馬県藤岡市根岸,藤岡市,28000,1991-3-1,1K,20.13,木造
群馬県高崎市請地町,高崎市,36000,1991-3-1,1K,21.38,鉄骨造
栃木県足利市福居町,足利市,35000,1991-3-9,3DK,35,木造
群馬県伊勢崎市安堀町,伊勢崎市,26000,1991-3-15,1K,16.2,木造
群馬県前橋市三河町2丁目,前橋市,67000,1991-4-1,2DK,50.6,SRC(鉄骨鉄筋コンクリート)
群馬県佐波郡玉村町大字川井,佐波郡,35000,1991-4-1,1K,19.19,木造
群馬県高崎市寺尾町,高崎市,52000,1991-4-1,3DK,53.46,軽量鉄骨造
群馬県伊勢崎市山王町,伊勢崎市,31000,1991-4-1,1K,19.89,鉄骨造
群馬県伊勢崎市上諏訪町,伊勢崎市,50000,1991-4-1,3DK,46.37,木造
群馬県伊勢崎市上諏訪町,伊勢崎市,52000,1991-4-1,3DK,46.37,木造
栃木県足利市朝倉町2丁目,足利市,40000,1991-4-1,2DK,39.69,鉄骨造
群馬県伊勢崎市三室町,伊勢崎市,39000,1991-4-1,2LDK,44.6,鉄骨造
群馬県伊勢崎市境栄,伊勢崎市,45000,1991-4-1,2DK,38.5,木造
群馬県伊勢崎市境栄,伊勢崎市,45000,1991-4-1,2DK,38.5,木造
群馬県前橋市青柳町,前橋市,55000,1991-4-1,2LDK,55.89,RC(鉄筋コンクリート造)
群馬県伊勢崎市山王町,伊勢崎市,30500,1991-4-1,1K,19.89,鉄骨造
群馬県伊勢崎市山王町,伊勢崎市,29500,1991-4-1,1K,19.89,鉄骨造
群馬県伊勢崎市山王町,伊勢崎市,30000,1991-4-1,1K,19.89,鉄骨造
群馬県太田市由良町,太田市,42000,1991-4-1,2DK,48.3,木造
群馬県太田市新井町,太田市,49000,1991-4-1,2LDK,46.78,軽量鉄骨造
群馬県高崎市井野町,高崎市,54000,1991-4-1,2LDK,53.13,RC(鉄筋コンクリート造)
群馬県前橋市昭和町1丁目,前橋市,60000,1991-4-1,3K,49.6,RC(鉄筋コンクリート造)
群馬県前橋市昭和町1丁目,前橋市,60000,1991-4-1,3K,49.6,RC(鉄筋コンクリート造)
群馬県伊勢崎市境栄,伊勢崎市,45000,1991-4-1,2DK,38.5,木造
群馬県伊勢崎市境栄,伊勢崎市,45000,1991-4-1,2DK,38.5,木造
群馬県高崎市井野町,高崎市,75000,1991-4-1,3LDK,71.33,RC(鉄筋コンクリート造)
群馬県太田市新井町,太田市,49000,1991-4-1,2LDK,48.78,軽量鉄骨造
群馬県佐波郡玉村町大字川井,佐波郡,35000,1991-4-1,1K,19.19,木造
群馬県伊勢崎市豊城町,伊勢崎市,43000,1991-4-1,2K,31.87,木造
群馬県前橋市昭和町1丁目,前橋市,38000,1991-4-1,1K,24.8,RC(鉄筋コンクリート造)
群馬県伊勢崎市豊城町,伊勢崎市,35000,1991-4-1,2DK,35.51,軽量鉄骨造
群馬県前橋市駒形町,前橋市,45000,1991-4-1,2DK,40,木造
群馬県前橋市三河町2丁目,前橋市,34000,1991-4-1,1R,19.44,SRC(鉄骨鉄筋コンクリート)
群馬県太田市由良町,太田市,35000,1991-4-1,2DK,44.9,木造
群馬県伊勢崎市三室町,伊勢崎市,46000,1991-4-1,2LDK,44.6,鉄骨造
群馬県伊勢崎市三室町,伊勢崎市,46000,1991-4-1,2LDK,44.6,鉄骨造
群馬県佐波郡玉村町大字上之手,佐波郡,48000,1991-4-1,3DK,50.78,軽量鉄骨造
群馬県高崎市末広町,高崎市,70000,1991-4-1,3LDK,65.28,SRC(鉄骨鉄筋コンクリート)
群馬県高崎市筑縄町,高崎市,32000,1991-4-1,1K,18.72,木造
群馬県佐波郡玉村町大字上之手,佐波郡,48000,1991-4-1,3DK,50.78,軽量鉄骨造
群馬県太田市新井町,太田市,49000,1991-4-1,2LDK,46.78,軽量鉄骨造
栃木県足利市上渋垂町,足利市,49500,1991-4-1,2DK,43.75,軽量鉄骨造
群馬県前橋市三河町2丁目,前橋市,58000,1991-4-1,3DK,53.36,SRC(鉄骨鉄筋コンクリート)
栃木県足利市田中町,足利市,70000,1991-4-15,2LDK,63.36,RC(鉄筋コンクリート造)
群馬県高崎市並榎町,高崎市,80000,1991-5-1,3LDK,63.8,RC(鉄筋コンクリート造)
群馬県高崎市並榎町,高崎市,58000,1991-5-1,3LDK,62.8,RC(鉄筋コンクリート造)
群馬県高崎市矢中町,高崎市,33000,1991-5-1,1DK,30.04,鉄骨造
群馬県伊勢崎市連取元町,伊勢崎市,42000,1991-5-1,2LDK,46.37,木造
群馬県高崎市矢中町,高崎市,32000,1991-5-1,1DK,30.04,鉄骨造
群馬県高崎市並榎町,高崎市,63000,1991-5-1,3LDK,62.8,RC(鉄筋コンクリート造)
群馬県伊勢崎市連取元町,伊勢崎市,49000,1991-5-1,2LDK,46.37,木造
栃木県足利市堀込町,足利市,35000,1991-5-1,1R,19.8,木造
群馬県高崎市緑町1丁目,高崎市,63000,1991-5-1,2LDK,55.81,RC(鉄筋コンクリート造)
群馬県高崎市菅谷町,高崎市,45000,1991-5-1,3DK,42.23,木造
群馬県高崎市並榎町,高崎市,60000,1991-5-1,3LDK,70.7,RC(鉄筋コンクリート造)
群馬県高崎市並榎町,高崎市,69000,1991-5-1,3LDK,63.8,RC(鉄筋コンクリート造)
群馬県伊勢崎市富塚町,伊勢崎市,30000,1991-5-1,1K,19.8,鉄骨造
群馬県伊勢崎市新栄町,伊勢崎市,45000,1991-5-1,2DK,40,木造
群馬県高崎市緑町1丁目,高崎市,64000,1991-5-1,3LDK,59.85,RC(鉄筋コンクリート造)
群馬県伊勢崎市連取元町,伊勢崎市,49000,1991-5-1,2LDK,46.37,木造
栃木県足利市山下町,足利市,53000,1991-5-1,3DK,49.6,木造
群馬県高崎市上大類町,高崎市,45000,1991-5-1,2DK,51.03,鉄骨造
群馬県高崎市上大類町,高崎市,45000,1991-5-1,2DK,51.03,鉄骨造
群馬県伊勢崎市富塚町,伊勢崎市,30000,1991-5-1,1K,18,鉄骨造
群馬県伊勢崎市連取元町,伊勢崎市,49000,1991-5-1,2LDK,46.37,木造
群馬県高崎市並榎町,高崎市,78000,1991-5-1,3LDK,63.8,RC(鉄筋コンクリート造)
群馬県伊勢崎市八幡町,伊勢崎市,50000,1991-5-1,3DK,46,軽量鉄骨造
群馬県高崎市緑町2丁目,高崎市,27000,1991-6-1,1K,18.99,木造
群馬県前橋市元総社町,前橋市,52000,1991-6-1,3K,53.5,軽量鉄骨造
群馬県太田市西新町,太田市,21000,1991-6-1,1K,18,軽量鉄骨造
群馬県桐生市新里町新川,桐生市,42000,1991-6-1,1LDK,46.77,木造
群馬県高崎市福島町,高崎市,44000,1991-6-1,1DK,30.84,鉄骨造
群馬県高崎市緑町2丁目,高崎市,27000,1991-6-1,1K,21.23,木造
群馬県高崎市緑町2丁目,高崎市,27000,1991-6-1,1K,18.99,木造
群馬県高崎市福島町,高崎市,45000,1991-6-1,1DK,30.84,鉄骨造
群馬県前橋市古市町1丁目,前橋市古市,35000,1991-7-1,1K,23.65,SRC(鉄骨鉄筋コンクリート)
群馬県太田市藤久良町,太田市,30000,1991-7-1,1K,22.8,木造
群馬県太田市藤久良町,太田市,30000,1991-7-1,1K,22.8,木造
群馬県前橋市古市町1丁目,前橋市古市,33000,1991-7-1,1K,23.65,SRC(鉄骨鉄筋コンクリート)
栃木県足利市山下町,足利市,27000,1991-7-1,1K,21.73,木造
群馬県太田市藤久良町,太田市,30000,1991-7-1,1K,22.8,木造
群馬県前橋市古市町1丁目,前橋市古市,30000,1991-7-1,1K,18.36,SRC(鉄骨鉄筋コンクリート)
栃木県足利市山下町,足利市,25000,1991-7-1,1K,21.73,木造
栃木県足利市今福町,足利市,56000,1991-7-1,3DK,54.34,軽量鉄骨造
栃木県足利市山下町,足利市,22000,1991-7-1,1K,21.73,木造
群馬県前橋市元総社町2丁目,前橋市,55000,1991-7-1,3LDK,57.47,SRC(鉄骨鉄筋コンクリート)
栃木県足利市今福町,足利市,56000,1991-7-1,3DK,54.34,軽量鉄骨造
群馬県高崎市棟高町,高崎市,75000,1991-8-1,貸家,97.62,木造
群馬県佐波郡玉村町大字上新田,佐波郡,36000,1991-8-1,2DK,44.67,軽量鉄骨造
群馬県佐波郡玉村町大字上新田,佐波郡,39000,1991-8-1,3DK,53.53,軽量鉄骨造
群馬県高崎市菅谷町,高崎市,47000,1991-8-1,2DK,59.62,木造
群馬県藤岡市藤岡,藤岡市,39000,1991-8-1,2DK,36.72,軽量鉄骨造
群馬県前橋市西片貝町2丁目,前橋市,24000,1991-8-1,1R,19.7,鉄骨造
群馬県佐波郡玉村町大字上新田,佐波郡,44000,1991-8-1,2DK,44.67,軽量鉄骨造
群馬県高崎市飯塚町,高崎市,44000,1991-9-1,2DK,38.83,軽量鉄骨造
群馬県前橋市本町3丁目,前橋市,27000,1991-9-1,1R,19.8,鉄骨造
栃木県足利市五十部町,足利市,45000,1991-9-1,3DK,54.34,木造
群馬県高崎市東貝沢町3丁目,高崎市,41000,1991-9-1,2DK,39.74,鉄骨造
栃木県足利市五十部町,足利市,45000,1991-9-1,3DK,54.34,木造
栃木県足利市福富町,足利市,55000,1991-9-1,2LDK,50.78,軽量鉄骨造
栃木県足利市福富町,足利市,55000,1991-9-1,3DK,54.81,軽量鉄骨造
群馬県伊勢崎市長沼町,伊勢崎市,40000,1991-9-1,1LDK,39.74,鉄骨造
栃木県足利市福富町,足利市,55000,1991-9-1,3DK,54.81,軽量鉄骨造
群馬県高崎市下小鳥町,高崎市,40000,1991-10-1,2DK,36.45,鉄骨造
群馬県太田市本町,太田市,30000,1991-10-1,1DK,16.44,鉄骨造
群馬県高崎市下中居町,高崎市,45000,1991-10-1,2DK,37.26,木造
群馬県前橋市上小出町2丁目,前橋市,35000,1991-10-1,1DK,36.3,鉄骨造
群馬県高崎市歌川町,高崎市,55000,1991-10-1,1SLDK,56.25,RC(鉄筋コンクリート造)
群馬県桐生市境野町6丁目,桐生市,23000,1991-10-1,1K,23.18,木造
群馬県高崎市下中居町,高崎市,45000,1991-10-1,2DK,37.26,木造
群馬県桐生市境野町6丁目,桐生市,23000,1991-10-1,1K,23.18,木造
群馬県前橋市三河町2丁目,前橋市,61000,1991-10-1,2LDK,56.67,RC(鉄筋コンクリート造)
群馬県前橋市昭和町3丁目,前橋市,27000,1991-10-1,1K,16.02,木造
群馬県館林市朝日町,館林市,33000,1991-10-1,1DK,29.81,木造
群馬県前橋市三河町2丁目,前橋市,63000,1991-10-1,2LDK,56.67,RC(鉄筋コンクリート造)
群馬県前橋市三河町2丁目,前橋市,63000,1991-10-1,2LDK,56.67,RC(鉄筋コンクリート造)
群馬県桐生市境野町6丁目,桐生市,23000,1991-10-1,1K,23.18,木造
群馬県桐生市境野町6丁目,桐生市,23000,1991-10-1,1K,23.18,木造
群馬県前橋市三河町2丁目,前橋市,64000,1991-10-1,2LDK,56.67,RC(鉄筋コンクリート造)
群馬県伊勢崎市太田町,伊勢崎市,45000,1991-10-1,3DK,49.59,軽量鉄骨造
群馬県伊勢崎市太田町,伊勢崎市,45000,1991-10-1,3DK,49.59,軽量鉄骨造
群馬県高崎市山名町,高崎市,25000,1991-10-1,1R,17,鉄骨造
群馬県伊勢崎市太田町,伊勢崎市,45000,1991-10-1,3DK,49.59,軽量鉄骨造
群馬県桐生市境野町6丁目,桐生市,23000,1991-10-1,1K,23.18,木造
群馬県桐生市境野町6丁目,桐生市,23000,1991-10-1,1K,23.18,木造
群馬県太田市亀岡町,太田市,30000,1991-11-1,2DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-11-1,2DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-11-1,2DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-11-1,2DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-11-1,2DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-11-1,2DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,20000,1991-11-1,1R,19,鉄骨造
群馬県前橋市下新田町,前橋市,40000,1991-11-1,2DK,38.08,軽量鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-11-1,2DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-11-1,2DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,20000,1991-11-1,1K,19,鉄骨造
群馬県太田市亀岡町,太田市,20000,1991-11-1,1K,19,鉄骨造
群馬県太田市亀岡町,太田市,20000,1991-11-1,1R,19,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-11-1,2DK,38.4,鉄骨造
群馬県太田市亀岡町,太田市,30000,1991-11-1,2DK,38.4,鉄骨造
群馬県高崎市下中居町,高崎市,55000,1991-11-1,2LDK,53.81,軽量鉄骨造
群馬県高崎市高砂町,高崎市,90000,1991-12-1,3LDK,68.04,SRC(鉄骨鉄筋コンクリート)
群馬県前橋市下石倉町,前橋市,30000,1991-12-1,1K,19,軽量鉄骨造
群馬県佐波郡玉村町大字南玉,佐波郡,60000,1991-12-1,3LDK,109.88,木造
群馬県高崎市八千代町2丁目,高崎市,64000,1991-12-1,3LDK,68.51,軽量鉄骨造
群馬県伊勢崎市富塚町,伊勢崎市,53000,1992-1-1,3DK,52.97,鉄骨造
栃木県足利市大前町,足利市,52000,1992-1-1,2LDK,50.78,軽量鉄骨造
栃木県足利市大前町,足利市,52000,1992-1-1,2LDK,50.78,軽量鉄骨造
群馬県伊勢崎市中央町,伊勢崎市,29000,1992-1-1,1R,21,軽量鉄骨造
群馬県伊勢崎市宮子町,伊勢崎市,39000,1992-1-1,1K,33.12,木造
群馬県伊勢崎市中央町,伊勢崎市,31000,1992-1-1,1R,21,軽量鉄骨造
栃木県佐野市堀米町,佐野市,42000,1992-1-1,2DK,36.3,軽量鉄骨造
群馬県伊勢崎市中央町,伊勢崎市,29000,1992-1-1,1R,21,軽量鉄骨造
群馬県伊勢崎市中央町,伊勢崎市,30000,1992-1-1,1K,21,軽量鉄骨造
群馬県伊勢崎市中央町,伊勢崎市,30000,1992-1-1,1R,21,軽量鉄骨造
群馬県安中市原市,安中市原市,45000,1992-1-1,3DK,47.85,木造
群馬県伊勢崎市昭和町,伊勢崎市,39000,1992-1-1,3DK,46.75,軽量鉄骨造
群馬県高崎市吉井町矢田,高崎市,48000,1992-1-1,3LDK,52.8,木造
群馬県前橋市天川大島町3丁目,前橋市,43000,1992-1-1,2K,23.96,木造
群馬県伊勢崎市福島町,伊勢崎市,52000,1992-1-1,2DK,52,木造
栃木県足利市堀込町,足利市,45000,1992-1-1,2DK,39.15,鉄骨造
群馬県前橋市野中町,前橋市,62000,1992-1-1,2LDK,54.17,SRC(鉄骨鉄筋コンクリート)
栃木県足利市福富町,足利市,40000,1992-1-1,2DK,44.3,木造
群馬県伊勢崎市中央町,伊勢崎市,30000,1992-1-1,1R,21,軽量鉄骨造
群馬県太田市浜町,太田市,45000,1992-1-1,2K,35.6,鉄骨造
群馬県太田市浜町,太田市,45000,1992-1-1,2K,35.6,鉄骨造
栃木県足利市福居町,足利市,35000,1992-1-1,2DK,42.87,軽量鉄骨造
栃木県足利市上渋垂町,足利市,50000,1992-1-1,3DK,50.81,軽量鉄骨造
群馬県前橋市下石倉町,前橋市,65000,1992-1-1,3DK,60.05,RC(鉄筋コンクリート造)
群馬県桐生市広沢町6丁目,桐生市,45000,1992-1-1,3DK,48.02,木造
栃木県足利市上渋垂町,足利市,50000,1992-1-1,3DK,50.81,軽量鉄骨造
群馬県太田市只上町,太田市,24000,1992-1-1,1K,23.18,木造
群馬県伊勢崎市富塚町,伊勢崎市,48000,1992-1-1,3DK,52.97,鉄骨造
群馬県伊勢崎市富塚町,伊勢崎市,53000,1992-1-1,3DK,52.97,鉄骨造
群馬県佐波郡玉村町大字藤川,佐波郡,49000,1992-1-1,3DK,46.75,軽量鉄骨造
群馬県伊勢崎市中央町,伊勢崎市,31000,1992-1-1,1R,21,軽量鉄骨造
群馬県伊勢崎市喜多町,伊勢崎市,45000,1992-1-1,2DK,54.27,木造
群馬県伊勢崎市昭和町,伊勢崎市,39000,1992-1-1,3DK,46.75,軽量鉄骨造
群馬県佐波郡玉村町大字藤川,佐波郡,49000,1992-1-1,3DK,46.75,軽量鉄骨造
栃木県足利市福居町,足利市,40000,1992-1-1,2DK,42.87,軽量鉄骨造
群馬県館林市成島町,館林市,38000,1992-1-1,2DK,40,木造
群馬県館林市成島町,館林市,38000,1992-1-1,2DK,40,木造
群馬県館林市成島町,館林市,40000,1992-1-1,2DK,40,木造
群馬県館林市成島町,館林市,40000,1992-1-1,2DK,40,木造
群馬県館林市成島町,館林市,38000,1992-1-1,2DK,40,木造
